id,timestamp,mode,subject,gesture,color_palette,emotion,scene_subtext,class_tension
0,00:00:00,static,soldier,wait,pink+white,serenity,truth in disguise,0.38
1,00:00:01,dynamic,mechanic,nod,lavender+ivory,serenity,caressing the ordinary,0.27
2,00:00:02,static,lover,glance,gray+navy,serenity,caressing the ordinary,0.1
3,00:00:03,static,hunter,smile,blue+grey,awe,truth in disguise,0.91
4,00:00:04,dynamic,waitress,dance,pink+white,love,the world still soft,0.73
5,00:00:05,static,actor,pause,white+emerald,discomfort,eyeing invisible lines,0.92
6,00:00:06,static,dancer,step,marble+ash,awe,performing charm,0.86
7,00:00:07,static,philosopher,stare,gray+navy,serenity,pretending to care,0.36
8,00:00:08,static,lover,dance,olive+brown,hope,waiting for permission,0.71
9,00:00:09,static,actor,pause,red+charcoal,discomfort,performing charm,0.28
10,00:00:10,dynamic,mechanic,smile,blue+grey,bliss,spinning under sunlight,0.6
11,00:00:11,dynamic,actor,wait,marble+ash,tension,caressing the ordinary,0.35
12,00:00:12,dynamic,actor,wait,lavender+ivory,love,the world still soft,0.13
13,00:00:13,static,mechanic,reach,pink+white,serenity,caught in breathless grace,0.57
14,00:00:14,dynamic,hunter,smile,marble+ash,love,pretending to care,0.82
15,00:00:15,static,soldier,collapse,gray+navy,melancholy,caressing the ordinary,0.84
16,00:00:16,dynamic,mother,turn,blue+grey,despair,serving without being seen,0.0
17,00:00:17,static,philosopher,turn,gold+coral,discomfort,serving without being seen,0.7
18,00:00:18,dynamic,child,stare,marble+ash,bliss,eyeing invisible lines,0.11
19,00:00:19,dynamic,philosopher,reach,blue+grey,tension,spinning under sunlight,0.45
20,00:00:20,static,mother,step,gold+coral,tenderness,spinning under sunlight,0.57
21,00:00:21,static,dancer,dance,teal+ochre,contempt,truth in disguise,0.5
22,00:00:22,dynamic,lover,reach,marble+ash,tension,pretending to care,0.17
23,00:00:23,dynamic,mechanic,wait,gray+navy,contempt,eternal joy,0.05
24,00:00:24,dynamic,actor,pause,olive+brown,contempt,eternal joy,0.71
25,00:00:25,dynamic,mother,nod,red+charcoal,love,the world still soft,0.0
26,00:00:26,static,mother,glance,gold+coral,fatigue,truth in disguise,0.49
27,00:00:27,static,hunter,sigh,olive+brown,melancholy,beauty hiding decay,0.23
28,00:00:28,dynamic,mother,sigh,indigo+bronze,fatigue,time isn’t yours,0.27
29,00:00:29,dynamic,actor,kiss,sepia+black,despair,caught in breathless grace,0.07
30,00:00:30,static,servant,step,indigo+bronze,contempt,performing charm,0.81
31,00:00:31,dynamic,aristocrat,nod,yellow+cream,discomfort,performing charm,0.81
32,00:00:32,dynamic,painter,kiss,marble+ash,discomfort,duty without love,0.01
33,00:00:33,dynamic,dancer,turn,white+emerald,awe,eyeing invisible lines,0.74
34,00:00:34,static,aristocrat,sigh,blue+grey,love,time isn’t yours,0.37
35,00:00:35,dynamic,soldier,nod,yellow+cream,restlessness,waiting for permission,0.83
36,00:00:36,static,bather,dance,gray+navy,contempt,beauty hiding decay,0.77
37,00:00:37,dynamic,philosopher,wait,lavender+ivory,restlessness,truth in disguise,0.71
38,00:00:38,static,lover,reach,gold+coral,contempt,caught in breathless grace,0.32
39,00:00:39,static,soldier,collapse,indigo+bronze,tenderness,caught in breathless grace,0.9
40,00:00:40,dynamic,mechanic,turn,red+charcoal,love,serving without being seen,0.79
41,00:00:41,dynamic,bather,turn,teal+ochre,love,caught in breathless grace,0.24
42,00:00:42,static,waitress,wait,olive+brown,joy,pretending to care,0.73
43,00:00:43,static,bather,reach,copper+sky,contempt,serving without being seen,0.43
44,00:00:44,dynamic,mechanic,stare,blue+grey,joy,spinning under sunlight,0.59
45,00:00:45,static,child,reach,gold+coral,joy,caressing the ordinary,0.95
46,00:00:46,dynamic,child,step,lavender+ivory,awe,performing charm,0.52
47,00:00:47,static,actor,wait,red+charcoal,restlessness,the world still soft,0.78
48,00:00:48,static,hunter,kiss,teal+ochre,tension,waiting for permission,0.58
49,00:00:49,static,actor,reach,red+charcoal,serenity,bound by rules,0.66
50,00:00:50,static,actor,step,indigo+bronze,discomfort,eyeing invisible lines,0.1
51,00:00:51,dynamic,lover,nod,indigo+bronze,bliss,eyeing invisible lines,0.27
52,00:00:52,static,painter,laugh,gray+navy,awe,waiting for permission,0.89
53,00:00:53,dynamic,waitress,stare,pink+white,restlessness,duty without love,0.62
54,00:00:54,dynamic,painter,turn,marble+ash,hope,the world still soft,0.76
55,00:00:55,static,gardener,reach,marble+ash,hope,eyeing invisible lines,0.18
56,00:00:56,dynamic,aristocrat,kiss,lavender+ivory,melancholy,eyeing invisible lines,0.02
57,00:00:57,dynamic,mother,gesture,gray+navy,serenity,pretending to care,0.7
58,00:00:58,static,actor,pause,rose+peach,tenderness,bound by rules,0.2
59,00:00:59,dynamic,mother,nod,teal+ochre,contempt,beauty hiding decay,0.23
60,00:01:00,static,mother,collapse,teal+ochre,tenderness,waiting for permission,0.51
61,00:01:01,static,dancer,turn,copper+sky,tenderness,bound by rules,0.42
62,00:01:02,dynamic,mother,dance,copper+sky,resentment,serving without being seen,0.65
63,00:01:03,dynamic,mother,smile,marble+ash,fatigue,caressing the ordinary,0.97
64,00:01:04,static,gardener,step,indigo+bronze,love,spinning under sunlight,0.65
65,00:01:05,static,waitress,stare,copper+sky,joy,performing charm,0.61
66,00:01:06,static,mother,wait,teal+ochre,restlessness,waiting for permission,0.92
67,00:01:07,static,gardener,stare,olive+brown,tension,time isn’t yours,0.95
68,00:01:08,dynamic,actor,gesture,rose+peach,fatigue,time isn’t yours,0.63
69,00:01:09,static,mother,reach,indigo+bronze,tension,serving without being seen,0.09
70,00:01:10,static,philosopher,nod,marble+ash,bliss,the world still soft,0.23
71,00:01:11,static,mechanic,step,pink+white,awe,eternal joy,0.34
72,00:01:12,dynamic,child,pause,lavender+ivory,bliss,caught in breathless grace,0.19
73,00:01:13,dynamic,hunter,gesture,marble+ash,love,eyeing invisible lines,0.5
74,00:01:14,static,actor,reach,sepia+black,tension,the world still soft,0.11
75,00:01:15,dynamic,mother,dance,gray+navy,resentment,serving without being seen,0.37
76,00:01:16,dynamic,bather,kiss,blue+grey,contempt,truth in disguise,0.8
77,00:01:17,dynamic,aristocrat,reach,gray+navy,restlessness,duty without love,0.03
78,00:01:18,dynamic,soldier,wait,white+emerald,joy,time isn’t yours,0.7
79,00:01:19,static,waitress,dance,marble+ash,tenderness,performing charm,0.05
80,00:01:20,static,child,step,yellow+cream,contempt,beauty hiding decay,0.09
81,00:01:21,static,gardener,wait,indigo+bronze,fatigue,waiting for permission,0.89
82,00:01:22,dynamic,actor,pause,blue+grey,fatigue,truth in disguise,0.33
83,00:01:23,dynamic,philosopher,dance,sepia+black,awe,bound by rules,0.18
84,00:01:24,dynamic,dancer,wait,teal+ochre,restlessness,beauty hiding decay,0.96
85,00:01:25,dynamic,soldier,reach,blue+grey,love,serving without being seen,0.31
86,00:01:26,static,child,stare,sepia+black,tension,bound by rules,0.8
87,00:01:27,static,hunter,reach,pink+white,resentment,eternal joy,0.55
88,00:01:28,static,bather,turn,teal+ochre,hope,time isn’t yours,0.95
89,00:01:29,static,lover,sigh,sepia+black,restlessness,serving without being seen,0.89
90,00:01:30,static,lover,smile,lavender+ivory,hope,caressing the ordinary,0.05
91,00:01:31,dynamic,aristocrat,laugh,teal+ochre,tension,caressing the ordinary,0.64
92,00:01:32,dynamic,painter,smile,teal+ochre,contempt,truth in disguise,0.76
93,00:01:33,dynamic,dancer,laugh,gray+navy,contempt,eyeing invisible lines,0.89
94,00:01:34,dynamic,mother,glance,marble+ash,discomfort,the world still soft,0.49
95,00:01:35,static,philosopher,smile,pink+white,hope,beauty hiding decay,0.42
96,00:01:36,static,actor,sigh,indigo+bronze,fatigue,eternal joy,0.04
97,00:01:37,dynamic,gardener,pause,lavender+ivory,melancholy,time isn’t yours,0.51
98,00:01:38,static,philosopher,reach,blue+grey,love,pretending to care,0.52
99,00:01:39,dynamic,bather,step,rose+peach,hope,spinning under sunlight,0.85
100,00:01:40,dynamic,aristocrat,reach,pink+white,resentment,the world still soft,0.32
101,00:01:41,static,mother,stare,copper+sky,restlessness,duty without love,0.84
102,00:01:42,dynamic,actor,dance,rose+peach,awe,eternal joy,0.67
103,00:01:43,dynamic,waitress,collapse,blue+grey,discomfort,performing charm,0.08
104,00:01:44,dynamic,gardener,stare,olive+brown,hope,the world still soft,0.38
105,00:01:45,static,servant,smile,teal+ochre,despair,beauty hiding decay,0.61
106,00:01:46,dynamic,mother,sigh,indigo+bronze,tension,eyeing invisible lines,0.94
107,00:01:47,dynamic,dancer,collapse,gold+coral,bliss,bound by rules,0.01
108,00:01:48,dynamic,philosopher,reach,olive+brown,joy,pretending to care,0.17
109,00:01:49,dynamic,bather,glance,lavender+ivory,melancholy,caressing the ordinary,0.66
110,00:01:50,dynamic,lover,gesture,olive+brown,despair,waiting for permission,0.71
111,00:01:51,static,bather,pause,red+charcoal,despair,bound by rules,0.95
112,00:01:52,dynamic,servant,pause,olive+brown,awe,spinning under sunlight,0.68
113,00:01:53,dynamic,hunter,sigh,red+charcoal,joy,bound by rules,0.95
114,00:01:54,dynamic,bather,reach,olive+brown,serenity,eternal joy,0.34
115,00:01:55,dynamic,hunter,gesture,lavender+ivory,tension,caught in breathless grace,0.92
116,00:01:56,static,mechanic,turn,yellow+cream,melancholy,serving without being seen,0.81
117,00:01:57,dynamic,waitress,stare,teal+ochre,awe,eternal joy,0.77
118,00:01:58,static,lover,smile,pink+white,despair,caught in breathless grace,0.05
119,00:01:59,dynamic,actor,stare,red+charcoal,bliss,the world still soft,0.43
120,00:02:00,static,dancer,smile,red+charcoal,resentment,spinning under sunlight,0.43
121,00:02:01,dynamic,dancer,glance,yellow+cream,restlessness,the world still soft,0.02
122,00:02:02,dynamic,dancer,reach,yellow+cream,fatigue,spinning under sunlight,0.08
123,00:02:03,dynamic,mechanic,reach,red+charcoal,tension,caressing the ordinary,0.54
124,00:02:04,dynamic,dancer,pause,pink+white,despair,truth in disguise,0.6
125,00:02:05,static,bather,nod,sepia+black,contempt,performing charm,0.7
126,00:02:06,static,soldier,gesture,yellow+cream,love,beauty hiding decay,0.52
127,00:02:07,static,painter,sigh,lavender+ivory,fatigue,truth in disguise,0.49
128,00:02:08,static,child,laugh,white+emerald,tenderness,time isn’t yours,0.91
129,00:02:09,dynamic,hunter,glance,lavender+ivory,awe,time isn’t yours,0.44
130,00:02:10,static,hunter,reach,gold+coral,tenderness,waiting for permission,0.15
131,00:02:11,static,dancer,nod,marble+ash,awe,eyeing invisible lines,0.04
132,00:02:12,static,child,glance,gray+navy,melancholy,truth in disguise,0.69
133,00:02:13,dynamic,mother,stare,teal+ochre,restlessness,serving without being seen,0.96
134,00:02:14,static,soldier,pause,blue+grey,fatigue,spinning under sunlight,0.52
135,00:02:15,dynamic,lover,sigh,yellow+cream,awe,waiting for permission,0.14
136,00:02:16,static,lover,nod,yellow+cream,restlessness,eternal joy,0.29
137,00:02:17,dynamic,actor,wait,lavender+ivory,hope,eternal joy,0.68
138,00:02:18,static,dancer,sigh,yellow+cream,joy,pretending to care,0.07
139,00:02:19,dynamic,lover,laugh,red+charcoal,contempt,beauty hiding decay,0.08
140,00:02:20,dynamic,child,glance,marble+ash,contempt,eyeing invisible lines,0.34
141,00:02:21,dynamic,bather,sigh,teal+ochre,love,waiting for permission,0.1
142,00:02:22,static,dancer,kiss,marble+ash,hope,duty without love,0.82
143,00:02:23,static,mechanic,kiss,marble+ash,melancholy,caressing the ordinary,0.69
144,00:02:24,dynamic,servant,sigh,blue+grey,hope,caressing the ordinary,0.38
145,00:02:25,dynamic,philosopher,dance,red+charcoal,resentment,beauty hiding decay,0.46
146,00:02:26,dynamic,painter,dance,copper+sky,serenity,bound by rules,0.31
147,00:02:27,dynamic,gardener,sigh,gold+coral,contempt,waiting for permission,0.36
148,00:02:28,static,hunter,smile,gold+coral,awe,serving without being seen,0.72
149,00:02:29,static,dancer,gesture,yellow+cream,restlessness,the world still soft,0.37
150,00:02:30,static,aristocrat,dance,indigo+bronze,discomfort,performing charm,0.47
151,00:02:31,static,mother,nod,rose+peach,melancholy,serving without being seen,0.94
152,00:02:32,dynamic,servant,gesture,yellow+cream,tension,bound by rules,0.9
153,00:02:33,static,child,collapse,copper+sky,fatigue,eyeing invisible lines,0.7
154,00:02:34,static,gardener,smile,teal+ochre,melancholy,beauty hiding decay,0.84
155,00:02:35,static,child,wait,yellow+cream,tension,performing charm,0.06
156,00:02:36,dynamic,gardener,smile,gold+coral,resentment,duty without love,0.14
157,00:02:37,static,soldier,wait,marble+ash,love,waiting for permission,0.99
158,00:02:38,static,philosopher,dance,white+emerald,tension,bound by rules,0.19
159,00:02:39,dynamic,dancer,gesture,olive+brown,tension,truth in disguise,0.84
160,00:02:40,static,bather,gesture,olive+brown,restlessness,performing charm,0.63
161,00:02:41,dynamic,aristocrat,stare,teal+ochre,tenderness,bound by rules,0.87
162,00:02:42,static,philosopher,kiss,pink+white,awe,waiting for permission,0.37
163,00:02:43,dynamic,waitress,wait,rose+peach,despair,caressing the ordinary,0.7
164,00:02:44,dynamic,gardener,glance,sepia+black,resentment,bound by rules,0.9
165,00:02:45,static,hunter,wait,gray+navy,tension,waiting for permission,0.02
166,00:02:46,static,mechanic,collapse,copper+sky,fatigue,truth in disguise,0.04
167,00:02:47,static,philosopher,gesture,gray+navy,awe,caught in breathless grace,0.2
168,00:02:48,static,mother,collapse,marble+ash,contempt,pretending to care,0.42
169,00:02:49,dynamic,philosopher,laugh,lavender+ivory,discomfort,waiting for permission,0.82
170,00:02:50,static,philosopher,glance,indigo+bronze,joy,pretending to care,0.78
171,00:02:51,dynamic,philosopher,nod,lavender+ivory,melancholy,caressing the ordinary,0.77
172,00:02:52,static,bather,pause,teal+ochre,love,duty without love,0.56
173,00:02:53,static,bather,step,pink+white,tenderness,pretending to care,0.21
174,00:02:54,static,philosopher,sigh,teal+ochre,contempt,the world still soft,0.6
175,00:02:55,dynamic,child,turn,olive+brown,discomfort,truth in disguise,0.69
176,00:02:56,static,painter,collapse,copper+sky,fatigue,bound by rules,0.89
177,00:02:57,static,philosopher,collapse,red+charcoal,love,spinning under sunlight,0.64
178,00:02:58,dynamic,aristocrat,sigh,teal+ochre,melancholy,eyeing invisible lines,0.53
179,00:02:59,static,gardener,glance,gray+navy,discomfort,eternal joy,0.06
180,00:03:00,static,gardener,glance,indigo+bronze,contempt,bound by rules,0.9
181,00:03:01,static,gardener,gesture,marble+ash,tenderness,waiting for permission,0.87
182,00:03:02,dynamic,hunter,gesture,rose+peach,restlessness,duty without love,0.97
