id,timestamp,mode,subject,gesture,color_palette,emotion,scene_subtext,class_tension
0,00:00:00,static,child,glance,lavender+ivory,melancholy,spinning under sunlight,0.87
1,00:01:00,static,waitress,laugh,copper+sky,discomfort,performing charm,0.28
2,00:02:00,dynamic,actor,dance,olive+brown,awe,duty without love,0.72
3,00:03:00,static,soldier,nod,indigo+bronze,fatigue,eternal joy,0.2
4,00:04:00,static,philosopher,reach,red+charcoal,despair,truth in disguise,0.52
5,00:05:00,dynamic,gardener,stare,olive+brown,joy,spinning under sunlight,0.14
6,00:06:00,static,mother,glance,sepia+black,tenderness,bound by rules,0.07
7,00:07:00,dynamic,painter,step,gray+navy,fatigue,serving without being seen,0.31
8,00:08:00,static,gardener,smile,teal+ochre,despair,truth in disguise,0.7
9,00:09:00,dynamic,bather,dance,white+emerald,restlessness,waiting for permission,0.84
10,00:10:00,dynamic,actor,sigh,indigo+bronze,despair,eyeing invisible lines,0.47
11,00:11:00,static,waitress,dance,blue+grey,discomfort,beauty hiding decay,0.33
12,00:12:00,dynamic,servant,stare,pink+white,love,serving without being seen,0.99
13,00:13:00,dynamic,lover,collapse,lavender+ivory,love,beauty hiding decay,0.56
14,00:14:00,dynamic,waitress,turn,sepia+black,joy,the world still soft,0.86
15,00:15:00,static,bather,smile,rose+peach,hope,pretending to care,0.42
16,00:16:00,dynamic,soldier,stare,olive+brown,love,caressing the ordinary,0.84
17,00:17:00,dynamic,painter,gesture,lavender+ivory,restlessness,caressing the ordinary,0.51
18,00:18:00,dynamic,painter,kiss,white+emerald,contempt,caught in breathless grace,0.44
19,00:19:00,dynamic,waitress,wait,lavender+ivory,melancholy,performing charm,0.7
20,00:20:00,dynamic,mother,collapse,red+charcoal,joy,eternal joy,0.66
21,00:21:00,static,aristocrat,step,copper+sky,tenderness,serving without being seen,0.31
22,00:22:00,static,servant,pause,gray+navy,serenity,caught in breathless grace,0.5
23,00:23:00,dynamic,philosopher,dance,gray+navy,despair,duty without love,0.71
24,00:24:00,dynamic,lover,nod,gray+navy,hope,time isn’t yours,0.21
25,00:25:00,dynamic,bather,kiss,white+emerald,bliss,pretending to care,0.1
26,00:26:00,dynamic,actor,turn,pink+white,tenderness,performing charm,0.82
27,00:27:00,static,bather,step,copper+sky,fatigue,eyeing invisible lines,0.6
